fy,id,cancersite,regpatient
2015,51,Liver,146
2015,52,Liver,39
2015,53,Liver,126
2015,54,Liver,86
2015,55,Liver,176
2015,56,Liver,123
2015,57,Liver,80
2015,58,Liver,217
2015,59,Liver,79
2015,60,Liver,18
2015,61,Liver,194
2015,62,Liver,212
2015,63,Liver,121
2015,64,Liver,229
2015,65,Liver,118
2015,66,Liver,130
2015,68,Liver,144
2015,72,Liver,180
2015,79,Liver,159
2016,1,Liver,391
2016,2,Liver,99
2016,3,Liver,195
2016,4,Liver,201
2016,6,Liver,49
2016,7,Liver,124
2016,8,Liver,192
2016,9,Liver,112
2016,11,Liver,248
2016,14,Liver,104
2016,15,Liver,93
2016,16,Liver,544
2016,17,Liver,267
2016,18,Liver,182
2016,19,Liver,71
2016,20,Liver,176
2016,21,Liver,74
2016,22,Liver,10
2016,23,Liver,122
2016,24,Liver,169
2016,25,Liver,269
2016,26,Liver,407
2016,27,Liver,5
2016,28,Liver,58
2016,29,Liver,104
2016,30,Liver,157
2016,31,Liver,37
2016,34,Liver,47
2016,36,Liver,103
2016,37,Liver,83
2016,38,Liver,79
2016,39,Liver,107
2016,41,Liver,115
2016,42,Liver,156
2016,43,Liver,246
2016,44,Liver,142
2016,45,Liver,327
2016,46,Liver,108
2016,47,Liver,99
2016,48,Liver,47
2016,49,Liver,197
2016,50,Liver,151
2016,51,Liver,104
2016,52,Liver,40
2016,53,Liver,126
2016,54,Liver,98
2016,55,Liver,243
2016,56,Liver,114
2016,57,Liver,97
2016,58,Liver,236
2016,59,Liver,85
2016,60,Liver,46
2016,61,Liver,216
2016,62,Liver,122
2016,63,Liver,89
2016,64,Liver,142
2016,65,Liver,104
2016,66,Liver,172
2016,68,Liver,151
2016,72,Liver,97
2016,79,Liver,274
2017,1,Liver,432
2017,2,Liver,94
2017,3,Liver,201
2017,4,Liver,206
2017,6,Liver,69
2017,7,Liver,116
2017,8,Liver,199
2017,9,Liver,107
2017,11,Liver,161
2017,13,Liver,145
2017,14,Liver,124
2017,15,Liver,84
2017,16,Liver,505
2017,17,Liver,253
2017,18,Liver,236
2017,19,Liver,79
2017,20,Liver,172
2017,21,Liver,80
2017,22,Liver,189
2017,23,Liver,98
2017,24,Liver,134
2017,25,Liver,326
2017,26,Liver,751
2017,27,Liver,6
2017,28,Liver,76
2017,29,Liver,39
2017,30,Liver,122
2017,31,Liver,60
2017,34,Liver,76
2017,36,Liver,76
2017,37,Liver,81
2017,38,Liver,197
2017,39,Liver,123
2017,41,Liver,199
2017,42,Liver,137
2017,43,Liver,324
2017,44,Liver,134
2017,45,Liver,337
2017,46,Liver,91
2017,47,Liver,104
2017,48,Liver,103
2017,49,Liver,115
2017,50,Liver,171
2017,51,Liver,28
2017,52,Liver,22
2017,53,Liver,149
2017,54,Liver,116
2017,55,Liver,209
2017,56,Liver,148
2017,57,Liver,96
2017,58,Liver,199
2017,59,Liver,63
2017,60,Liver,19
2017,61,Liver,258
2017,62,Liver,224
2017,63,Liver,77
2017,65,Liver,114
2017,66,Liver,192
2017,68,Liver,7
2017,72,Liver,75
2017,79,Liver,115
2018,1,Liver,432
2018,2,Liver,89
2018,3,Liver,201
2018,4,Liver,253
2018,6,Liver,67
2018,7,Liver,197
2018,8,Liver,142
2018,9,Liver,95
2018,11,Liver,114
2018,13,Liver,117
2018,14,Liver,113
2018,15,Liver,105
2018,16,Liver,453
2018,17,Liver,255
2018,18,Liver,235
2018,19,Liver,76
2018,20,Liver,140
2018,21,Liver,107
2018,22,Liver,171
2018,23,Liver,121
2018,24,Liver,151
2018,25,Liver,267
2018,26,Liver,444
2018,27,Liver,4
2018,28,Liver,79
2018,29,Liver,97
2018,30,Liver,135
2018,31,Liver,51
2018,34,Liver,57
2018,36,Liver,116
2018,37,Liver,71
2018,38,Liver,236
2018,39,Liver,98
2018,41,Liver,213
2018,42,Liver,140
2018,43,Liver,331
2018,44,Liver,145
2018,45,Liver,337
2018,46,Liver,106
2018,47,Liver,81
2018,48,Liver,59
2018,49,Liver,174
2018,50,Liver,137
2018,51,Liver,87
2018,52,Liver,22
2018,53,Liver,149
2018,54,Liver,115
2018,55,Liver,156
2018,56,Liver,148
2018,57,Liver,142
2018,58,Liver,286
2018,59,Liver,69
2018,60,Liver,24
2018,61,Liver,253
2018,62,Liver,205
2018,63,Liver,112
2018,64,Liver,218
2018,65,Liver,139
2018,66,Liver,175
2018,68,Liver,224
2018,72,Liver,81
2018,79,Liver,204
2019,1,Liver,474
2019,2,Liver,90
2019,3,Liver,174
2019,4,Liver,201
2019,6,Liver,66
2019,7,Liver,197
2019,8,Liver,186
2019,9,Liver,74
2019,11,Liver,28
2019,13,Liver,98
2019,14,Liver,126
2019,15,Liver,105
2019,16,Liver,482
2019,17,Liver,237
2019,18,Liver,170
2019,19,Liver,86
2019,20,Liver,179
2019,21,Liver,98
2019,22,Liver,186
2019,23,Liver,98
2019,24,Liver,166
2019,25,Liver,375
2019,26,Liver,485
2019,27,Liver,5
2019,28,Liver,92
2019,29,Liver,21
2019,30,Liver,135
2019,31,Liver,51
2019,34,Liver,56
2019,36,Liver,45
2019,37,Liver,48
2019,38,Liver,220
2019,39,Liver,85
2019,41,Liver,203
2019,42,Liver,114
2019,43,Liver,292
2019,44,Liver,176
2019,45,Liver,308
2019,46,Liver,96
2019,47,Liver,117
2019,48,Liver,60
2019,49,Liver,142
2019,50,Liver,143
2019,51,Liver,98
2019,52,Liver,46
2019,53,Liver,168
2019,54,Liver,104
2019,55,Liver,256
2019,56,Liver,148
2019,57,Liver,151
2019,58,Liver,205
2019,59,Liver,52
2019,60,Liver,34
2019,61,Liver,209
2019,62,Liver,212
2019,63,Liver,92
2019,64,Liver,213
2019,65,Liver,119
2019,66,Liver,163
2019,68,Liver,188
2019,72,Liver,82
2019,79,Liver,177
2019,85,Liver,42
2020,1,Liver,270
2020,2,Liver,77
2020,3,Liver,175
2020,4,Liver,219
2020,6,Liver,85
2020,7,Liver,203
2020,8,Liver,161
2020,9,Liver,60
2020,11,Liver,104
2020,13,Liver,108
2020,14,Liver,136
2020,15,Liver,100
2020,16,Liver,500
2020,17,Liver,198
2020,18,Liver,168
2020,19,Liver,75
2020,20,Liver,179
2020,21,Liver,84
2020,22,Liver,188
2020,23,Liver,98
2020,24,Liver,163
2020,25,Liver,375
2020,26,Liver,532
2020,27,Liver,9
2020,28,Liver,85
2020,29,Liver,93
2020,30,Liver,154
2020,31,Liver,49
2020,34,Liver,56
2020,36,Liver,28
2020,37,Liver,101
2020,38,Liver,246
2020,39,Liver,125
2020,41,Liver,220
2020,42,Liver,54
2020,43,Liver,239
2020,44,Liver,183
2020,45,Liver,378
2020,46,Liver,97
2020,47,Liver,65
2020,48,Liver,83
2020,49,Liver,142
2020,50,Liver,161
2020,51,Liver,101
2020,52,Liver,48
2020,53,Liver,138
2020,54,Liver,92
2020,55,Liver,194
2020,56,Liver,318
2020,57,Liver,166
2020,58,Liver,292
2020,59,Liver,55
2020,60,Liver,25
2020,61,Liver,192
2020,62,Liver,91
2020,63,Liver,101
2020,64,Liver,315
2020,65,Liver,123
2020,66,Liver,206
2020,68,Liver,225
2020,72,Liver,70
2020,79,Liver,206
2020,85,Liver,40
2020,87,Liver,84
2021,1,Liver,443
2021,2,Liver,62
2021,3,Liver,170
2021,4,Liver,176
2021,6,Liver,91
2021,7,Liver,136
2021,8,Liver,147
2021,9,Liver,61
2021,11,Liver,106
2021,13,Liver,158
2021,14,Liver,126
2021,15,Liver,123
2021,16,Liver,454
2021,17,Liver,154
2021,18,Liver,202
2021,19,Liver,64
2021,20,Liver,131
2021,21,Liver,120
2021,22,Liver,175
2021,23,Liver,187
2021,24,Liver,145
2021,25,Liver,280
2021,26,Liver,322
2021,27,Liver,8
2021,28,Liver,84
2021,29,Liver,16
2021,30,Liver,89
2021,31,Liver,67
2021,34,Liver,80
2021,36,Liver,86
2021,37,Liver,69
2021,38,Liver,136
2021,39,Liver,104
2021,41,Liver,200
2021,42,Liver,110
2021,43,Liver,292
2021,44,Liver,208
2021,45,Liver,300
2021,46,Liver,134
2021,47,Liver,81
2021,48,Liver,83
2021,49,Liver,162
2021,50,Liver,131
2021,51,Liver,101
2021,52,Liver,41
2021,53,Liver,151
2021,54,Liver,92
2021,55,Liver,170
2021,56,Liver,141
2021,57,Liver,122
2021,58,Liver,238
2021,59,Liver,51
2021,60,Liver,25
2021,61,Liver,328
2021,62,Liver,165
2021,63,Liver,81
2021,64,Liver,154
2021,65,Liver,107
2021,66,Liver,176
2021,68,Liver,230
2021,72,Liver,101
2021,79,Liver,206
2021,85,Liver,49
2021,87,Liver,95
